Row Labels,NewCases,TotalCases,NewDeaths,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated,NewVaccinations
1/22/2020,,1,,,,,
1/23/2020,0,1,,,,,
1/24/2020,1,2,,,,,
1/25/2020,0,2,,,,,
1/26/2020,3,5,,,,,
1/27/2020,0,5,,,,,
1/28/2020,0,5,,,,,
1/29/2020,1,6,,,,,
1/30/2020,0,6,,,,,
1/31/2020,2,8,,,,,
2/1/2020,0,8,,,,,
2/2/2020,0,8,,,,,
2/3/2020,3,11,,,,,
2/4/2020,0,11,,,,,
2/5/2020,0,11,,,,,
2/6/2020,1,12,,,,,
2/7/2020,0,12,,,,,
2/8/2020,0,12,,,,,
2/9/2020,0,12,,,,,
2/10/2020,0,12,,,,,
2/11/2020,1,13,,,,,
2/12/2020,0,13,,,,,
2/13/2020,1,14,,,,,
2/14/2020,0,14,,,,,
2/15/2020,0,14,,,,,
2/16/2020,0,14,,,,,
2/17/2020,0,14,,,,,
2/18/2020,0,14,,,,,
2/19/2020,0,14,,,,,
2/20/2020,0,14,,,,,
2/21/2020,2,16,,,,,
2/22/2020,0,16,,,,,
2/23/2020,0,16,,,,,
2/24/2020,0,16,,,,,
2/25/2020,0,16,,,,,
2/26/2020,0,16,,,,,
2/27/2020,1,17,,,,,
2/28/2020,0,17,,,,,
2/29/2020,8,25,1,,,,
3/1/2020,7,32,0,,,,
3/2/2020,23,55,5,,,,
3/3/2020,19,74,1,,,,
3/4/2020,33,107,4,,,,
3/5/2020,77,184,1,,,,
3/6/2020,53,237,2,,,,
3/7/2020,166,403,3,,,,
3/8/2020,116,519,4,,,,
3/9/2020,75,594,1,,,,
3/10/2020,188,782,6,,,,
3/11/2020,365,1147,5,,,,
3/12/2020,439,1586,10,,,,
3/13/2020,633,2219,8,,,,
3/14/2020,759,2978,7,,,,
3/15/2020,234,3212,12,,,,
3/16/2020,1467,4679,27,,,,
3/17/2020,1833,6512,37,,,,
3/18/2020,2657,9169,60,,,,
3/19/2020,4494,13663,72,,,,
3/20/2020,6367,20030,106,,,,
3/21/2020,5995,26025,103,,,,
3/22/2020,8919,34944,128,,,,
3/23/2020,11152,46096,187,,,,
3/24/2020,10618,56714,243,,,,
3/25/2020,12127,68841,333,,,,
3/26/2020,17821,86662,417,,,,
3/27/2020,18591,105253,522,,,,
3/28/2020,22164,127417,713,,,,
3/29/2020,16127,143544,555,,,,
3/30/2020,22154,165698,707,,,,
3/31/2020,26381,192079,1079,,,,
4/1/2020,31175,223254,1252,,,,
4/2/2020,32276,255530,1531,,,,
4/3/2020,32401,287931,1420,,,,
4/4/2020,31845,319776,1603,,,,
4/5/2020,29240,349016,1616,,,,
4/6/2020,31782,380798,1742,,,,
4/7/2020,30036,410834,2576,,,,
4/8/2020,31063,441897,2150,,,,
4/9/2020,35610,477507,2214,,,,
4/10/2020,34283,511790,2187,,,,
4/11/2020,28924,540714,2136,,,,
4/12/2020,26308,567022,1889,,,,
4/13/2020,27143,594165,1985,,,,
4/14/2020,28328,622493,2473,,,,
4/15/2020,25897,648390,2598,,,,
4/16/2020,29638,678028,2183,,,,
4/17/2020,33107,711135,2095,,,,
4/18/2020,27329,738464,1946,,,,
4/19/2020,25422,763886,1980,,,,
4/20/2020,30084,793970,2245,,,,
4/21/2020,26075,820045,2482,,,,
4/22/2020,29881,849926,2467,,,,
4/23/2020,31965,881891,2414,,,,
4/24/2020,31965,913856,2169,,,,
4/25/2020,30914,944770,1734,,,,
4/26/2020,25971,970741,1406,,,,
4/27/2020,24650,995391,1480,,,,
4/28/2020,24573,1019964,2244,,,,
4/29/2020,26852,1046816,2392,,,,
4/30/2020,29702,1076518,2191,,,,
5/1/2020,34892,1111410,1908,,,,
5/2/2020,26764,1138174,1743,,,,
5/3/2020,23733,1161907,1203,,,,
5/4/2020,23802,1185709,1358,,,,
5/5/2020,24019,1209728,2221,,,,
5/6/2020,24482,1234210,2322,,,,
5/7/2020,27739,1261949,1915,,,,
5/8/2020,27183,1289132,1771,,,,
5/9/2020,24454,1313586,1466,,,,
5/10/2020,18747,1332333,1000,,,,
5/11/2020,19077,1351410,1035,,,,
5/12/2020,23382,1374792,1589,,,,
5/13/2020,20015,1394807,1735,,,,
5/14/2020,25890,1420697,1773,,,,
5/15/2020,24851,1445548,1665,,,,
5/16/2020,24050,1469598,1197,,,,
